Model,Group,Accuracy
DecisionTree,1-3,0.9453703703703704
DecisionTree,4-6,0.9412362092046346
DecisionTree,7-10,0.8339067998994469
LogisticRegression,1-3,0.862037037037037
LogisticRegression,4-6,0.8494206711905091
LogisticRegression,7-10,0.8703777023629965
NeuralNetwork,1-3,0.85
NeuralNetwork,4-6,0.8455892535659881
NeuralNetwork,7-10,0.843949534942182
RandomForest,1-3,0.9120370370370371
RandomForest,4-6,0.920971241286987
RandomForest,7-10,0.8502922322775264
SVM,1-3,0.8546296296296297
SVM,4-6,0.8576374463370723
SVM,7-10,0.8586129964806435
