sound_class_list,output,File_Name
[9],N,Dog2_1.wav
"[9, 5]",N,Dog2_1.wav
"[9, 5, 9]",N,Dog2_1.wav
"[9, 5, 9, 7]",N,Dog2_1.wav
"[9, 5, 9, 7, 6]",N,Dog2_1.wav
"[9, 5, 9, 7, 6, 8]",N,Dog2_1.wav
"[9, 5, 9, 7, 6, 8, 6]",N,Dog2_1.wav
"[9, 5, 9, 7, 6, 8, 6, 9]",N,Dog2_1.wav
"[9, 5, 9, 7, 6, 8, 6, 9, 2.0]",Y,Dog2_1.wav
[5],N,Dog2_1.wav
"[5, 9]",N,Dog2_1.wav
"[5, 9, 7]",N,Dog2_1.wav
"[5, 9, 7, 6]",N,Dog2_1.wav
"[5, 9, 7, 6, 8]",N,Dog2_1.wav
"[5, 9, 7, 6, 8, 6]",N,Dog2_1.wav
"[5, 9, 7, 6, 8, 6, 9]",N,Dog2_1.wav
"[5, 9, 7, 6, 8, 6, 9, 2.0]",Y,Dog2_1.wav
[9],N,Dog2_1.wav
"[9, 7]",N,Dog2_1.wav
"[9, 7, 6]",N,Dog2_1.wav
"[9, 7, 6, 8]",N,Dog2_1.wav
"[9, 7, 6, 8, 6]",N,Dog2_1.wav
"[9, 7, 6, 8, 6, 9]",N,Dog2_1.wav
"[9, 7, 6, 8, 6, 9, 2.0]",Y,Dog2_1.wav
[7],N,Dog2_1.wav
"[7, 6]",N,Dog2_1.wav
"[7, 6, 8]",N,Dog2_1.wav
"[7, 6, 8, 6]",N,Dog2_1.wav
"[7, 6, 8, 6, 9]",N,Dog2_1.wav
"[7, 6, 8, 6, 9, 2.0]",Y,Dog2_1.wav
[6],N,Dog2_1.wav
"[6, 8]",N,Dog2_1.wav
"[6, 8, 6]",N,Dog2_1.wav
"[6, 8, 6, 9]",N,Dog2_1.wav
"[6, 8, 6, 9, 2.0]",Y,Dog2_1.wav
[8],N,Dog2_1.wav
"[8, 6]",N,Dog2_1.wav
"[8, 6, 9]",N,Dog2_1.wav
"[8, 6, 9, 2.0]",Y,Dog2_1.wav
[6],N,Dog2_1.wav
"[6, 9]",N,Dog2_1.wav
"[6, 9, 2.0]",Y,Dog2_1.wav
[9],N,Dog2_1.wav
"[9, 2.0]",Y,Dog2_1.wav
[2.0],Y,Dog2_1.wav
[7],N,Dog2_2.wav
"[7, 0]",N,Dog2_2.wav
"[7, 0, 7]",N,Dog2_2.wav
"[7, 0, 7, 7]",N,Dog2_2.wav
"[7, 0, 7, 7, 1]",N,Dog2_2.wav
"[7, 0, 7, 7, 1, 4]",N,Dog2_2.wav
"[7, 0, 7, 7, 1, 4, 7]",N,Dog2_2.wav
"[7, 0, 7, 7, 1, 4, 7, 6]",N,Dog2_2.wav
"[7, 0, 7, 7, 1, 4, 7, 6, 2.0]",Y,Dog2_2.wav
[0],N,Dog2_2.wav
"[0, 7]",N,Dog2_2.wav
"[0, 7, 7]",N,Dog2_2.wav
"[0, 7, 7, 1]",N,Dog2_2.wav
"[0, 7, 7, 1, 4]",N,Dog2_2.wav
"[0, 7, 7, 1, 4, 7]",N,Dog2_2.wav
"[0, 7, 7, 1, 4, 7, 6]",N,Dog2_2.wav
"[0, 7, 7, 1, 4, 7, 6, 2.0]",Y,Dog2_2.wav
[7],N,Dog2_2.wav
"[7, 7]",N,Dog2_2.wav
"[7, 7, 1]",N,Dog2_2.wav
"[7, 7, 1, 4]",N,Dog2_2.wav
"[7, 7, 1, 4, 7]",N,Dog2_2.wav
"[7, 7, 1, 4, 7, 6]",N,Dog2_2.wav
"[7, 7, 1, 4, 7, 6, 2.0]",Y,Dog2_2.wav
[7],N,Dog2_2.wav
"[7, 1]",N,Dog2_2.wav
"[7, 1, 4]",N,Dog2_2.wav
"[7, 1, 4, 7]",N,Dog2_2.wav
"[7, 1, 4, 7, 6]",N,Dog2_2.wav
"[7, 1, 4, 7, 6, 2.0]",Y,Dog2_2.wav
[1],N,Dog2_2.wav
"[1, 4]",N,Dog2_2.wav
"[1, 4, 7]",N,Dog2_2.wav
"[1, 4, 7, 6]",N,Dog2_2.wav
"[1, 4, 7, 6, 2.0]",Y,Dog2_2.wav
[4],N,Dog2_2.wav
"[4, 7]",N,Dog2_2.wav
"[4, 7, 6]",N,Dog2_2.wav
"[4, 7, 6, 2.0]",Y,Dog2_2.wav
[7],N,Dog2_2.wav
"[7, 6]",N,Dog2_2.wav
"[7, 6, 2.0]",Y,Dog2_2.wav
[6],N,Dog2_2.wav
"[6, 2.0]",Y,Dog2_2.wav
[2.0],Y,Dog2_2.wav
[5],N,Dog2_3.wav
"[5, 8]",N,Dog2_3.wav
"[5, 8, 0]",N,Dog2_3.wav
"[5, 8, 0, 8]",N,Dog2_3.wav
