sound_class_list,output,File_Name
[40.0],N,Dog7_1
"[40.0, 48.0]",N,Dog7_1
"[40.0, 48.0, 34.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0, 34.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0, 34.0, 3.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0, 34.0, 3.0, 48.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0, 34.0, 3.0, 48.0, 48.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0, 34.0, 3.0, 48.0, 48.0, 43.0]",N,Dog7_1
"[40.0, 48.0, 34.0, 31.0, 34.0, 3.0, 48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[48.0],N,Dog7_1
"[48.0, 34.0]",N,Dog7_1
"[48.0, 34.0, 31.0]",N,Dog7_1
"[48.0, 34.0, 31.0, 34.0]",N,Dog7_1
"[48.0, 34.0, 31.0, 34.0, 3.0]",N,Dog7_1
"[48.0, 34.0, 31.0, 34.0, 3.0, 48.0]",N,Dog7_1
"[48.0, 34.0, 31.0, 34.0, 3.0, 48.0, 48.0]",N,Dog7_1
"[48.0, 34.0, 31.0, 34.0, 3.0, 48.0, 48.0, 43.0]",N,Dog7_1
"[48.0, 34.0, 31.0, 34.0, 3.0, 48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[34.0],N,Dog7_1
"[34.0, 31.0]",N,Dog7_1
"[34.0, 31.0, 34.0]",N,Dog7_1
"[34.0, 31.0, 34.0, 3.0]",N,Dog7_1
"[34.0, 31.0, 34.0, 3.0, 48.0]",N,Dog7_1
"[34.0, 31.0, 34.0, 3.0, 48.0, 48.0]",N,Dog7_1
"[34.0, 31.0, 34.0, 3.0, 48.0, 48.0, 43.0]",N,Dog7_1
"[34.0, 31.0, 34.0, 3.0, 48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[31.0],N,Dog7_1
"[31.0, 34.0]",N,Dog7_1
"[31.0, 34.0, 3.0]",N,Dog7_1
"[31.0, 34.0, 3.0, 48.0]",N,Dog7_1
"[31.0, 34.0, 3.0, 48.0, 48.0]",N,Dog7_1
"[31.0, 34.0, 3.0, 48.0, 48.0, 43.0]",N,Dog7_1
"[31.0, 34.0, 3.0, 48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[34.0],N,Dog7_1
"[34.0, 3.0]",N,Dog7_1
"[34.0, 3.0, 48.0]",N,Dog7_1
"[34.0, 3.0, 48.0, 48.0]",N,Dog7_1
"[34.0, 3.0, 48.0, 48.0, 43.0]",N,Dog7_1
"[34.0, 3.0, 48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[3.0],N,Dog7_1
"[3.0, 48.0]",N,Dog7_1
"[3.0, 48.0, 48.0]",N,Dog7_1
"[3.0, 48.0, 48.0, 43.0]",N,Dog7_1
"[3.0, 48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[48.0],N,Dog7_1
"[48.0, 48.0]",N,Dog7_1
"[48.0, 48.0, 43.0]",N,Dog7_1
"[48.0, 48.0, 43.0, 31.0]",Y,Dog7_1
[48.0],N,Dog7_1
"[48.0, 43.0]",N,Dog7_1
"[48.0, 43.0, 31.0]",Y,Dog7_1
[43.0],N,Dog7_1
"[43.0, 31.0]",Y,Dog7_1
[31.0],Y,Dog7_1
[42.0],N,Dog7_10
"[42.0, 26.0]",N,Dog7_10
"[42.0, 26.0, 34.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0, 43.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0, 43.0, 6.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0, 43.0, 6.0, 6.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0, 43.0, 6.0, 6.0, 31.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0, 43.0, 6.0, 6.0, 31.0, 42.0]",N,Dog7_10
"[42.0, 26.0, 34.0, 26.0, 43.0, 6.0, 6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[26.0],N,Dog7_10
"[26.0, 34.0]",N,Dog7_10
"[26.0, 34.0, 26.0]",N,Dog7_10
"[26.0, 34.0, 26.0, 43.0]",N,Dog7_10
"[26.0, 34.0, 26.0, 43.0, 6.0]",N,Dog7_10
"[26.0, 34.0, 26.0, 43.0, 6.0, 6.0]",N,Dog7_10
"[26.0, 34.0, 26.0, 43.0, 6.0, 6.0, 31.0]",N,Dog7_10
"[26.0, 34.0, 26.0, 43.0, 6.0, 6.0, 31.0, 42.0]",N,Dog7_10
"[26.0, 34.0, 26.0, 43.0, 6.0, 6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[34.0],N,Dog7_10
"[34.0, 26.0]",N,Dog7_10
"[34.0, 26.0, 43.0]",N,Dog7_10
"[34.0, 26.0, 43.0, 6.0]",N,Dog7_10
"[34.0, 26.0, 43.0, 6.0, 6.0]",N,Dog7_10
"[34.0, 26.0, 43.0, 6.0, 6.0, 31.0]",N,Dog7_10
"[34.0, 26.0, 43.0, 6.0, 6.0, 31.0, 42.0]",N,Dog7_10
"[34.0, 26.0, 43.0, 6.0, 6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[26.0],N,Dog7_10
"[26.0, 43.0]",N,Dog7_10
"[26.0, 43.0, 6.0]",N,Dog7_10
"[26.0, 43.0, 6.0, 6.0]",N,Dog7_10
"[26.0, 43.0, 6.0, 6.0, 31.0]",N,Dog7_10
"[26.0, 43.0, 6.0, 6.0, 31.0, 42.0]",N,Dog7_10
"[26.0, 43.0, 6.0, 6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[43.0],N,Dog7_10
"[43.0, 6.0]",N,Dog7_10
"[43.0, 6.0, 6.0]",N,Dog7_10
"[43.0, 6.0, 6.0, 31.0]",N,Dog7_10
"[43.0, 6.0, 6.0, 31.0, 42.0]",N,Dog7_10
"[43.0, 6.0, 6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[6.0],N,Dog7_10
"[6.0, 6.0]",N,Dog7_10
"[6.0, 6.0, 31.0]",N,Dog7_10
"[6.0, 6.0, 31.0, 42.0]",N,Dog7_10
"[6.0, 6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[6.0],N,Dog7_10
"[6.0, 31.0]",N,Dog7_10
"[6.0, 31.0, 42.0]",N,Dog7_10
"[6.0, 31.0, 42.0, 26.0]",Y,Dog7_10
[31.0],N,Dog7_10
"[31.0, 42.0]",N,Dog7_10
"[31.0, 42.0, 26.0]",Y,Dog7_10
[42.0],N,Dog7_10
"[42.0, 26.0]",Y,Dog7_10
[26.0],Y,Dog7_10
[3.0],N,Dog7_2
"[3.0, 31.0]",N,Dog7_2
"[3.0, 31.0, 43.0]",N,Dog7_2
"[3.0, 31.0, 43.0, 17.0]",N,Dog7_2
"[3.0, 31.0, 43.0, 17.0, 26.0]",N,Dog7_2
"[3.0, 31.0, 43.0, 17.0, 26.0, 17.0]",N,Dog7_2
"[3.0, 31.0, 43.0, 17.0, 26.0, 17.0, 31.0]",N,Dog7_2
"[3.0, 31.0, 43.0, 17.0, 26.0, 17.0, 31.0, 44.0]",Y,Dog7_2
[31.0],N,Dog7_2
"[31.0, 43.0]",N,Dog7_2
"[31.0, 43.0, 17.0]",N,Dog7_2
"[31.0, 43.0, 17.0, 26.0]",N,Dog7_2
"[31.0, 43.0, 17.0, 26.0, 17.0]",N,Dog7_2
"[31.0, 43.0, 17.0, 26.0, 17.0, 31.0]",N,Dog7_2
"[31.0, 43.0, 17.0, 26.0, 17.0, 31.0, 44.0]",Y,Dog7_2
[43.0],N,Dog7_2
"[43.0, 17.0]",N,Dog7_2
"[43.0, 17.0, 26.0]",N,Dog7_2
"[43.0, 17.0, 26.0, 17.0]",N,Dog7_2
"[43.0, 17.0, 26.0, 17.0, 31.0]",N,Dog7_2
"[43.0, 17.0, 26.0, 17.0, 31.0, 44.0]",Y,Dog7_2
[17.0],N,Dog7_2
"[17.0, 26.0]",N,Dog7_2
"[17.0, 26.0, 17.0]",N,Dog7_2
"[17.0, 26.0, 17.0, 31.0]",N,Dog7_2
"[17.0, 26.0, 17.0, 31.0, 44.0]",Y,Dog7_2
[26.0],N,Dog7_2
"[26.0, 17.0]",N,Dog7_2
"[26.0, 17.0, 31.0]",N,Dog7_2
"[26.0, 17.0, 31.0, 44.0]",Y,Dog7_2
[17.0],N,Dog7_2
"[17.0, 31.0]",N,Dog7_2
"[17.0, 31.0, 44.0]",Y,Dog7_2
[31.0],N,Dog7_2
"[31.0, 44.0]",Y,Dog7_2
[44.0],Y,Dog7_2
[47.0],N,Dog7_3
"[47.0, 29.0]",N,Dog7_3
"[47.0, 29.0, 6.0]",N,Dog7_3
"[47.0, 29.0, 6.0, 26.0]",N,Dog7_3
"[47.0, 29.0, 6.0, 26.0, 17.0]",N,Dog7_3
"[47.0, 29.0, 6.0, 26.0, 17.0, 31.0]",N,Dog7_3
"[47.0, 29.0, 6.0, 26.0, 17.0, 31.0, 29.0]",N,Dog7_3
"[47.0, 29.0, 6.0, 26.0, 17.0, 31.0, 29.0, 17.0]",Y,Dog7_3
[29.0],N,Dog7_3
"[29.0, 6.0]",N,Dog7_3
"[29.0, 6.0, 26.0]",N,Dog7_3
"[29.0, 6.0, 26.0, 17.0]",N,Dog7_3
"[29.0, 6.0, 26.0, 17.0, 31.0]",N,Dog7_3
"[29.0, 6.0, 26.0, 17.0, 31.0, 29.0]",N,Dog7_3
"[29.0, 6.0, 26.0, 17.0, 31.0, 29.0, 17.0]",Y,Dog7_3
[6.0],N,Dog7_3
"[6.0, 26.0]",N,Dog7_3
"[6.0, 26.0, 17.0]",N,Dog7_3
"[6.0, 26.0, 17.0, 31.0]",N,Dog7_3
"[6.0, 26.0, 17.0, 31.0, 29.0]",N,Dog7_3
"[6.0, 26.0, 17.0, 31.0, 29.0, 17.0]",Y,Dog7_3
[26.0],N,Dog7_3
"[26.0, 17.0]",N,Dog7_3
"[26.0, 17.0, 31.0]",N,Dog7_3
"[26.0, 17.0, 31.0, 29.0]",N,Dog7_3
"[26.0, 17.0, 31.0, 29.0, 17.0]",Y,Dog7_3
[17.0],N,Dog7_3
"[17.0, 31.0]",N,Dog7_3
"[17.0, 31.0, 29.0]",N,Dog7_3
"[17.0, 31.0, 29.0, 17.0]",Y,Dog7_3
[31.0],N,Dog7_3
"[31.0, 29.0]",N,Dog7_3
"[31.0, 29.0, 17.0]",Y,Dog7_3
[29.0],N,Dog7_3
"[29.0, 17.0]",Y,Dog7_3
[17.0],Y,Dog7_3
[31.0],N,Dog7_4
"[31.0, 31.0]",N,Dog7_4
"[31.0, 31.0, 34.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0, 37.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0, 37.0, 29.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0]",N,Dog7_4
"[31.0, 31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0, 48.0]",Y,Dog7_4
[31.0],N,Dog7_4
"[31.0, 34.0]",N,Dog7_4
"[31.0, 34.0, 34.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0, 37.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0, 37.0, 29.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0]",N,Dog7_4
"[31.0, 34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0, 48.0]",Y,Dog7_4
[34.0],N,Dog7_4
"[34.0, 34.0]",N,Dog7_4
"[34.0, 34.0, 29.0]",N,Dog7_4
"[34.0, 34.0, 29.0, 37.0]",N,Dog7_4
"[34.0, 34.0, 29.0, 37.0, 29.0]",N,Dog7_4
"[34.0, 34.0, 29.0, 37.0, 29.0, 48.0]",N,Dog7_4
"[34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0]",N,Dog7_4
"[34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0]",N,Dog7_4
"[34.0, 34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0, 48.0]",Y,Dog7_4
[34.0],N,Dog7_4
"[34.0, 29.0]",N,Dog7_4
"[34.0, 29.0, 37.0]",N,Dog7_4
"[34.0, 29.0, 37.0, 29.0]",N,Dog7_4
"[34.0, 29.0, 37.0, 29.0, 48.0]",N,Dog7_4
"[34.0, 29.0, 37.0, 29.0, 48.0, 5.0]",N,Dog7_4
"[34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0]",N,Dog7_4
"[34.0, 29.0, 37.0, 29.0, 48.0, 5.0, 48.0, 48.0]",Y,Dog7_4
[29.0],N,Dog7_4
"[29.0, 37.0]",N,Dog7_4
